model-1602332482, 1602332488.83, 0.82, 0.1409, 0.82, 0.1258
model-1602332482, 1602332488.872, 0.76, 0.1481, 0.78, 0.1526
model-1602332482, 1602332488.919, 0.85, 0.1085, 0.88, 0.1146
model-1602332482, 1602332488.962, 0.79, 0.1349, 0.87, 0.1103
model-1602332482, 1602332489.004, 0.83, 0.1225, 0.88, 0.1051
model-1602332482, 1602332489.049, 0.81, 0.1322, 0.83, 0.1335
model-1602332482, 1602332489.092, 0.83, 0.1055, 0.84, 0.1215
model-1602332482, 1602332489.137, 0.77, 0.1292, 0.83, 0.1207
model-1602332482, 1602332489.182, 0.86, 0.1119, 0.85, 0.1098
model-1602332482, 1602332489.225, 0.76, 0.1603, 0.82, 0.1351
model-1602332482, 1602332489.269, 0.81, 0.1184, 0.8, 0.1182
model-1602332482, 1602332489.313, 0.77, 0.1466, 0.8, 0.1284
model-1602332482, 1602332489.357, 0.85, 0.1104, 0.87, 0.1152
model-1602332482, 1602332489.402, 0.83, 0.115, 0.74, 0.156
model-1602332482, 1602332489.447, 0.88, 0.1126, 0.78, 0.1463
model-1602332482, 1602332489.491, 0.85, 0.1211, 0.81, 0.1303
model-1602332482, 1602332489.534, 0.88, 0.111, 0.83, 0.1173
model-1602332482, 1602332489.578, 0.83, 0.1185, 0.87, 0.1092
model-1602332482, 1602332489.624, 0.78, 0.1523, 0.77, 0.164
model-1602332482, 1602332489.669, 0.73, 0.1748, 0.88, 0.107
model-1602332482, 1602332489.714, 0.86, 0.1046, 0.85, 0.102
model-1602332482, 1602332489.758, 0.83, 0.1278, 0.84, 0.1247
model-1602332482, 1602332489.803, 0.77, 0.1486, 0.86, 0.1112
model-1602332482, 1602332489.849, 0.83, 0.1296, 0.84, 0.1044
model-1602332482, 1602332489.894, 0.83, 0.1299, 0.85, 0.1184
model-1602332482, 1602332489.938, 0.85, 0.1169, 0.8, 0.1231
model-1602332482, 1602332489.985, 0.84, 0.1028, 0.85, 0.1106
model-1602332482, 1602332490.028, 0.84, 0.1199, 0.85, 0.1147
model-1602332482, 1602332490.072, 0.81, 0.1311, 0.74, 0.1502
model-1602332482, 1602332490.117, 0.86, 0.1123, 0.81, 0.1263
model-1602332482, 1602332490.16, 0.79, 0.1347, 0.81, 0.133
model-1602332482, 1602332490.204, 0.83, 0.1152, 0.88, 0.086
model-1602332482, 1602332490.249, 0.84, 0.1078, 0.81, 0.1373
model-1602332482, 1602332490.297, 0.74, 0.1545, 0.81, 0.1494
model-1602332482, 1602332490.34, 0.81, 0.1379, 0.84, 0.1213
model-1602332482, 1602332490.386, 0.88, 0.1054, 0.87, 0.0968
model-1602332482, 1602332490.43, 0.87, 0.1053, 0.85, 0.1154
model-1602332482, 1602332490.474, 0.84, 0.112, 0.77, 0.1436
model-1602332482, 1602332490.531, 0.81, 0.1333, 0.86, 0.1155
model-1602332482, 1602332490.576, 0.8, 0.1368, 0.84, 0.1288
model-1602332482, 1602332490.62, 0.74, 0.1492, 0.82, 0.1366
model-1602332482, 1602332490.667, 0.84, 0.1175, 0.87, 0.1172
model-1602332482, 1602332490.711, 0.88, 0.1089, 0.87, 0.1054
model-1602332482, 1602332490.755, 0.77, 0.1676, 0.81, 0.1149
model-1602332482, 1602332490.8, 0.79, 0.1368, 0.86, 0.1172
model-1602332482, 1602332490.844, 0.78, 0.1545, 0.84, 0.1348
model-1602332482, 1602332490.887, 0.83, 0.1279, 0.72, 0.186
model-1602332482, 1602332490.931, 0.85, 0.1098, 0.83, 0.1401
model-1602332482, 1602332490.973, 0.76, 0.1493, 0.83, 0.1236
model-1602332482, 1602332491.015, 0.86, 0.1166, 0.81, 0.1336
model-1602332482, 1602332491.076, 0.88, 0.1076, 0.78, 0.132
model-1602332482, 1602332491.12, 0.84, 0.1113, 0.84, 0.1175
model-1602332482, 1602332491.165, 0.81, 0.1454, 0.83, 0.1194
model-1602332482, 1602332491.208, 0.79, 0.1497, 0.82, 0.1453
model-1602332482, 1602332491.251, 0.83, 0.0996, 0.83, 0.1211
model-1602332482, 1602332491.295, 0.84, 0.1022, 0.85, 0.0995
model-1602332482, 1602332491.339, 0.85, 0.1209, 0.8, 0.1456
model-1602332482, 1602332491.383, 0.8, 0.1303, 0.88, 0.0932
model-1602332482, 1602332491.425, 0.83, 0.1403, 0.82, 0.1192
model-1602332482, 1602332491.47, 0.78, 0.1503, 0.86, 0.0961
model-1602332482, 1602332491.512, 0.87, 0.0972, 0.81, 0.1373
model-1602332482, 1602332491.554, 0.81, 0.1431, 0.81, 0.1335
model-1602332482, 1602332491.599, 0.84, 0.1104, 0.86, 0.1172
